srodek_id,numer_inwentarzowy,nazwa,kategoria_kst,data_przyjecia,wartosc_poczatkowa,stawka_amortyzacji,lokalizacja,osoba_odpowiedzialna,dostawca_id,status
22,ST/00022,Ergonomic discrete open system,8,2020-01-11,168092.08,14,Goleniów,Leonard Piwowarek,1608,zlikwidowany
23,ST/00023,Networked intermediate software,4,2024-01-04,157066.85,10,Nowa Sól,Marcin Wałdoch,1924,w użyciu
24,ST/00024,Re-engineered explicit core,6,2019-12-26,42253.84,7,Oława,Karina Komisarczyk,1478,zlikwidowany
25,ST/00025,Synergistic value-added forecast,4,2020-04-22,23615.76,30,Słupsk,Ernest Brózda,1786,w użyciu
26,ST/00026,Phased uniform matrices,491,2022-11-14,134579.41,18,Zamość,Krystyna Stiller,743,zlikwidowany
27,ST/00027,Vision-oriented fresh-thinking application,8,2021-07-13,34237.22,20,Świebodzice,Mateusz Rozumek,241,w naprawie
28,ST/00028,Upgradable context-sensitive knowledge user,3,2020-06-19,79705.02,14,Chrzanów,Maksymilian Karnas,1193,zlikwidowany
29,ST/00029,Re-engineered demand-driven archive,6,2018-08-05,126281.54,30,Piaseczno,Maurycy Kobza,1652,w naprawie
30,ST/00030,Managed heuristic customer loyalty,491,2024-12-31,66696.5,20,Słupsk,Sara Chromy,980,w użyciu
31,ST/00031,Robust client-server focus group,4,2025-07-20,15887.03,30,Wyszków,Apolonia Mrozowicz,940,w użyciu
32,ST/00032,Team-oriented maximized circuit,4,2021-09-04,59819.72,7,Otwock,pan Gustaw Machowicz,1960,w naprawie
33,ST/00033,Front-line upward-trending migration,3,2020-12-01,60280.13,30,Bielsk Podlaski,Gaja Stypa,1419,zlikwidowany
34,ST/00034,Down-sized multi-tasking Internet solution,3,2022-06-26,149740.3,,Mińsk Mazowiecki,Dorota Cyroń,1279,zlikwidowany
35,ST/00035,Polarized eco-centric methodology,8,2021-06-15,5446.37,14,Iława,Karol Solarek,1193,w użyciu
36,ST/00036,Implemented 3rdgeneration intranet,6,2020-12-23,18801.04,30,Kołobrzeg,Gaja Glegoła,1584,zlikwidowany
37,ST/00037,Secured homogeneous functionalities,4,2024-01-08,11466.48,7,Piotrków Trybunalski,Oskar Bałdys,905,w użyciu
38,ST/00038,Intuitive mobile definition,6,2025-02-18,3665.95,18,Zabrze,Julian Gniewek,1089,w użyciu
39,ST/00039,Horizontal 3rdgeneration firmware,4,2020-01-18,149834.92,7,Zabrze,Róża Ludwisiak,1744,w naprawie
40,ST/00040,Customer-focused non-volatile architecture,6,2018-10-19,75293.7,30,Tarnów,Witold Ziarno,2051,w użyciu
41,ST/00041,Team-oriented dynamic knowledgebase,491,2022-03-20,84046.87,7,Sosnowiec,Kaja Kukuczka,540,w naprawie
42,ST/00042,Organic multi-tasking attitude,491,2026-01-13,116509.68,30,Ełk,Borys Nitkiewicz,2040,w użyciu
43,ST/00043,Multi-channeled foreground algorithm,491,2024-03-30,100662.58,18,Bytom,Leonard Piątkiewicz,577,zlikwidowany
44,ST/00044,Cloned stable artificial intelligence,8,2019-04-04,95735.61,10,Bydgoszcz,Kazimierz Łusiak,74,w naprawie
45,ST/00045,Innovative holistic infrastructure,6,2023-09-28,29604.06,18,Mińsk Mazowiecki,Tomasz Jamrożek,1736,zlikwidowany
46,ST/00046,Face-to-face mission-critical approach,6,2021-02-02,56136.64,14,Białogard,Wiktor Leszczak,1788,w użyciu
47,ST/00047,Team-oriented maximized focus group,4,2022-03-15,143049.98,7,Mława,Tomasz Kosałka,1523,w naprawie
48,ST/00048,Multi-lateral intangible algorithm,3,2021-08-07,115276.78,30,Olkusz,Jan Bareja,1193,w naprawie
49,ST/00049,Customer-focused tertiary standardization,6,2022-06-27,13971.71,18,Mińsk Mazowiecki,Agnieszka Matusewicz,2135,w użyciu
50,ST/00050,Front-line radical matrices,8,2023-07-04,13499.94,20,Kłodzko,Karol Stempel,1312,w użyciu
51,ST/00051,Adaptive bandwidth-monitored protocol,6,2019-08-07,96882.25,20,Ełk,Klara Stosio,1717,zlikwidowany
52,ST/00052,Compatible neutral pricing structure,4,2026-01-10,117214.93,20,Słupsk,Robert Podkowa,985,w naprawie
53,ST/00053,Adaptive intangible archive,6,2020-02-18,176464.25,7,Ostrowiec Świętokrzyski,Józef Kalisiak,1791,zlikwidowany
54,ST/00054,Team-oriented optimizing interface,491,2025-11-15,175359.3,14,Zduńska Wola,Alan Cierpka,1895,w użyciu
55,ST/00055,Intuitive attitude-oriented flexibility,8,2021-01-05,27247.89,14,Leszno,pani Róża Pawlonka,376,w naprawie
56,ST/00056,Phased attitude-oriented architecture,491,2026-06-18,81904.68,14,Oława,Filip Świerkosz,369,w użyciu
57,ST/00057,Mandatory actuating artificial intelligence,4,2018-12-16,61088.52,10,Racibórz,Krzysztof Karwala,1573,w użyciu
58,ST/00058,Customizable object-oriented Graphic Interface,3,2025-10-04,184061.83,20,Września,Adam Borzych,472,w naprawie
59,ST/00059,Distributed mission-critical initiative,3,2021-04-25,190556.91,30,Grodzisk Mazowiecki,Jacek Stranc,982,w użyciu
60,ST/00060,Versatile modular matrix,3,2024-10-19,157721.33,7,Krotoszyn,Urszula Zieja,2047,w naprawie
61,ST/00061,Inverse eco-centric middleware,6,2020-05-31,183677.6,7,Zawiercie,Krystian Grubba,1150,zlikwidowany
62,ST/00062,Phased grid-enabled access,6,2019-08-06,6029.9,7,Mielec,Kajetan Laszczyk,144,zlikwidowany
63,ST/00063,Open-architected empowering system engine,4,2024-12-24,69837.78,20,Sosnowiec,Tola Wacławiak,279,zlikwidowany
64,ST/00064,Fundamental stable synergy,4,2024-06-29,122667.54,,Białogard,Kamil Tarach,609,w naprawie
65,ST/00065,Upgradable well-modulated matrix,491,2023-05-24,65183.74,18,Wejherowo,Dominik Jargieło,1577,w użyciu
66,ST/00066,Programmable cohesive methodology,3,2022-07-23,3957.65,7,Łaziska Górne,pan Adam Morka,294,w naprawie
67,ST/00067,Realigned next generation toolset,6,2024-10-30,72935.65,7,Rybnik,Adam Żero,2592,zlikwidowany
68,ST/00068,Realigned 3rdgeneration archive,3,2020-10-31,77263.93,7,Mława,pan Kajetan Kołsut,725,zlikwidowany
69,ST/00069,Balanced next generation concept,4,2021-10-02,33628.89,30,Piaseczno,pan Miłosz Wielgo,1586,w użyciu
70,ST/00070,Balanced empowering flexibility,491,2025-04-27,135496.33,10,Nowa Ruda,Tomasz Harasimiuk,1277,w użyciu
71,ST/00071,Grass-roots value-added challenge,3,2020-05-09,13819.22,7,Brodnica,Tymon Kalinka,984,w użyciu
72,ST/00072,Open-architected modular utilization,491,2023-08-29,41760.53,7,Czerwionka-Leszczyny,Liwia Głuszko,1583,w użyciu
73,ST/00073,Centralized tangible hardware,8,2025-11-05,32364.08,20,Gdynia,Kornel Pietrus,1819,w naprawie
74,ST/00074,Decentralized discrete intranet,3,2023-09-24,45822.82,30,Świecie,Kajetan Ryszkiewicz,1891,zlikwidowany
75,ST/00075,Profound eco-centric process improvement,6,2026-04-20,186449.01,14,Mińsk Mazowiecki,Gustaw Betka,422,w użyciu
76,ST/00076,Function-based asymmetric installation,491,2025-03-06,171544.52,,Wieluń,Gustaw Grzela,565,w użyciu
77,ST/00077,Adaptive leadingedge implementation,6,2019-12-23,193702.72,14,Biłgoraj,Monika Wosiek,2517,w naprawie
78,ST/00078,Advanced 6thgeneration interface,4,2020-09-21,99308.3,14,Nowy Targ,Błażej Kucharzyk,1225,w naprawie
79,ST/00079,Optimized high-level orchestration,4,2020-09-22,195995.06,7,Kwidzyn,Artur Zbrzeźniak,2100,zlikwidowany
80,ST/00080,User-friendly solution-oriented toolset,3,2022-08-10,31579.15,10,Żary,Klara Wojtarowicz,1534,zlikwidowany
81,ST/00081,Customer-focused systemic application,3,2025-07-13,141436.82,,Racibórz,Marcel Hanas,693,w naprawie
82,,Persevering zero tolerance artificial intelligence,3,2019-05-11,52221.51,10,Ostrołęka,Antoni Woda,1606,w naprawie
83,ST/00083,Proactive intermediate access,8,2020-03-20,70548.82,14,Bytom,pan Albert Bereda,1767,w użyciu
84,ST/00084,Triple-buffered value-added monitoring,8,2020-12-04,147037.78,30,Kraków,Adrianna Wojtczuk,875,w użyciu
85,ST/00085,Reactive eco-centric conglomeration,3,2023-05-10,20358.15,30,Cieszyn,Leonard Godzik,931,w użyciu
86,ST/00086,Persevering intermediate benchmark,4,2019-12-13,134384.88,,Police,Karina Pastuszek,2450,zlikwidowany
87,ST/00087,Balanced intermediate interface,8,2020-11-16,139454.71,18,Wołomin,Tomasz Dargacz,1923,w naprawie
88,ST/00088,Up-sized cohesive website,491,2019-03-02,102570.29,30,Konin,Radosław Szwałek,511,w użyciu
89,ST/00089,Decentralized empowering database,3,2025-08-25,35596.16,10,Łódź,Kamil Kranc,313,w użyciu
90,ST/00090,Diverse local conglomeration,4,2019-09-22,103553.52,7,Piastów,pani Anna Maria Powierża,885,w naprawie
91,ST/00091,Exclusive interactive Local Area Network,4,2024-04-01,96672.75,20,Tczew,Anna Maria Gebauer,874,w użyciu
92,ST/00092,Re-engineered bi-directional concept,8,2019-01-31,120415.64,7,Wągrowiec,Mieszko Cacko,772,w naprawie
93,ST/00093,Reduced encompassing workforce,491,2019-06-26,126239.81,20,Świdnica,pan Gustaw Balcewicz,1732,w użyciu
94,ST/00094,Public-key needs-based algorithm,8,2018-10-05,171754.73,20,Ruda Śląska,Leon Dziczek,628,w naprawie
95,ST/00095,Versatile impactful website,491,2023-02-15,131599.16,30,Włocławek,Ewelina Kuncewicz,2075,w naprawie
96,ST/00096,Operative bandwidth-monitored synergy,4,2024-09-04,24281.47,10,Wrocław,Krystian Hallmann,836,zlikwidowany
97,ST/00097,Pre-emptive stable alliance,491,2023-04-16,36257.73,20,Gliwice,Alan Krywult,1017,zlikwidowany
98,ST/00098,Business-focused user-facing projection,491,2024-11-07,2169.61,20,Otwock,Róża Witos,1852,zlikwidowany
99,ST/00099,Face-to-face holistic Graphical User Interface,491,2023-06-12,100298.95,18,Pruszcz Gdański,pani Natasza Baranowicz,1671,w naprawie
100,ST/00100,Object-based leadingedge implementation,6,2024-12-09,10769.49,14,Ostrów Mazowiecka,Justyna Kuciak,1163,zlikwidowany
101,ST/00101,Open-source coherent orchestration,3,2021-08-16,32122.14,10,Zduńska Wola,pani Aurelia Handzel,1411,w naprawie
102,ST/00102,Networked actuating capacity,491,2025-08-31,144468.14,14,Środa Wielkopolska,pani Ada Józwik,2107,zlikwidowany
103,ST/00103,Pre-emptive content-based circuit,4,2026-04-21,145251.03,20,Toruń,Kajetan Szajda,761,w naprawie
104,ST/00104,Grass-roots high-level analyzer,6,2018-11-20,176201.69,20,Żywiec,Tobiasz Pasich,166,zlikwidowany
105,ST/00105,Future-proofed 3rdgeneration pricing structure,3,2021-06-05,196747.72,10,Bolesławiec,pan Arkadiusz Klisz,1080,w naprawie
106,ST/00106,Realigned modular attitude,491,2024-10-02,7876.38,14,Iława,Stefan Franiak,1900,zlikwidowany
107,ST/00107,Decentralized web-enabled approach,491,2025-01-09,110242.03,10,Radom,Justyna Rubacha,1646,w użyciu
108,ST/00108,Inverse needs-based frame,491,2019-10-08,67505.57,20,Lębork,Tadeusz Jargiło,1605,zlikwidowany
109,,Universal web-enabled workforce,491,2022-10-07,83607.71,20,Swarzędz,Szymon Golisz,437,zlikwidowany
110,ST/00110,Adaptive even-keeled Internet solution,4,2021-04-28,167062.31,20,Toruń,Jędrzej Mateńko,1033,zlikwidowany
111,ST/00111,Streamlined transitional instruction set,3,2022-03-13,48713.51,18,Warszawa,pan Eryk Wajdzik,772,w naprawie
112,ST/00112,Re-contextualized systemic encryption,8,2023-03-26,38416.8,14,Kwidzyn,pani Marcelina Podpora,1412,w naprawie
113,ST/00113,Persistent reciprocal application,6,2019-03-19,101606.03,7,Kłodzko,pani Olga Bobryk,294,zlikwidowany
114,ST/00114,Phased 24/7 capacity,3,2025-03-18,75871.52,7,Oleśnica,Damian Tokaj,1194,zlikwidowany
115,ST/00115,Persevering interactive firmware,6,2022-12-03,74945.17,30,Krosno,Rafał Bitner,1099,w naprawie
116,ST/00116,Synergized zero administration application,4,2024-06-10,138882.48,30,Ostrołęka,Ignacy Baś,1436,zlikwidowany
117,ST/00117,Secured needs-based Graphic Interface,4,2019-02-10,96937.2,18,Oleśnica,pani Apolonia Szela,477,w użyciu
118,ST/00118,Quality-focused multimedia time-frame,3,2018-09-20,187800.79,10,Warszawa,Grzegorz Jaszcz,877,w naprawie
119,ST/00119,Integrated 4thgeneration implementation,3,2025-03-02,83849.96,18,Słupsk,Nela Matejczyk,1437,w naprawie
120,,Adaptive leadingedge complexity,3,2022-07-04,35137.89,20,Wodzisław Śląski,pani Justyna Sus,1484,w użyciu
121,ST/00121,Multi-layered system-worthy challenge,491,2026-02-03,60528.7,10,Iława,pani Natasza Penar,1782,w użyciu
122,ST/00122,Multi-layered analyzing budgetary management,3,2024-07-19,103074.11,14,Inowrocław,pani Agnieszka Graboś,1618,w naprawie
123,ST/00123,Configurable background website,4,2024-07-15,22314.42,14,Bolesławiec,pan Jan Szpyra,1324,zlikwidowany
124,ST/00124,Multi-lateral bottom-line database,3,2023-07-05,80829.81,10,Brodnica,Liwia Kościuszko,1771,w naprawie
125,ST/00125,Future-proofed background migration,8,2023-06-04,119882.17,30,Szczecin,pani Gaja Bartoś,2164,w naprawie
126,ST/00126,Customer-focused clear-thinking adapter,4,2024-03-31,116398.61,18,Skawina,Anastazja Rudolf,959,w naprawie
127,,Self-enabling 6thgeneration focus group,4,2021-01-13,85083.9,20,Świebodzice,pani Lidia Barankiewicz,144,zlikwidowany
128,ST/00128,Reduced real-time data-warehouse,6,2021-08-23,85043.32,14,Stargard Szczeciński,Lidia Kubrak,881,w użyciu
129,ST/00129,Total regional circuit,3,2018-08-19,113542.43,30,Łaziska Górne,Melania Sot,1870,w użyciu
130,ST/00130,Reduced empowering knowledge user,3,2022-05-08,67779.18,7,Suwałki,pan Michał Basak,452,w naprawie
131,ST/00131,Distributed systematic hub,8,2020-11-16,39340.26,14,Konin,Franciszek Mokwa,932,w naprawie
132,ST/00132,Business-focused high-level installation,4,2023-10-30,145169.15,30,Piła,Aleksander Groborz,1995,w naprawie
133,ST/00133,Configurable coherent framework,3,2025-07-16,188353.7,30,Wałbrzych,Malwina Hendzel,918,w użyciu
134,ST/00134,Seamless exuding pricing structure,491,2024-03-28,71558.03,30,Bielsko-Biała,Jędrzej Szkup,1055,w użyciu
135,ST/00135,Cloned non-volatile definition,8,2022-12-12,178923.07,30,Nowa Sól,Elżbieta Steinke,200,w użyciu
136,ST/00136,Ergonomic intermediate framework,3,2024-05-25,168987.99,10,Ostrowiec Świętokrzyski,Nataniel Gajcy,1562,w użyciu
137,ST/00137,Team-oriented content-based artificial intelligence,8,2020-11-22,184020.14,7,Biłgoraj,Jędrzej Małyszka,1823,w naprawie
138,,Right-sized even-keeled hub,491,2026-06-24,125578.31,14,Szczecinek,Leonard Domżał,1924,zlikwidowany
139,ST/00139,Versatile needs-based paradigm,491,2026-04-09,109829.1,18,Legionowo,Gustaw Baumgart,578,w użyciu
140,ST/00140,Total discrete utilization,3,2021-10-25,27323.28,30,Wyszków,Ewelina Jędrak,2609,w użyciu
141,ST/00141,Secured neutral paradigm,491,2023-04-07,78815.14,20,Sopot,Olaf Chlipała,709,zlikwidowany
142,ST/00142,Synergistic well-modulated analyzer,8,2023-01-14,45758.01,14,Zielona Góra,Mateusz Hudzik,190,w użyciu
143,,Distributed demand-driven encoding,491,2024-09-05,18827.9,20,Siemianowice Śląskie,Paweł Pinda,1796,w naprawie
144,ST/00144,Re-contextualized human-resource ability,6,2021-06-07,22060.42,7,Płońsk,Arkadiusz Łuszczak,2061,w naprawie
145,ST/00145,Seamless uniform structure,8,2023-10-03,0,14,Biłgoraj,Anastazja Marcol,423,w użyciu
146,ST/00146,Fundamental 24hour algorithm,4,2025-03-05,54488.59,10,Środa Wielkopolska,Andrzej Borkowicz,575,zlikwidowany
147,ST/00147,Quality-focused intermediate implementation,6,2026-05-24,44175.38,10,Chojnice,Roksana Tatarek,1078,zlikwidowany
148,ST/00148,Proactive solution-oriented collaboration,8,2022-09-21,89615.54,7,Nysa,Miłosz Musiolik,1647,w naprawie
149,ST/00149,Intuitive mission-critical superstructure,491,2020-10-07,63809.86,14,Cieszyn,Marianna Albin,1936,w użyciu
150,ST/00150,Open-source motivating algorithm,6,2021-10-05,66910.08,7,Tarnobrzeg,Ada Solarczyk,1275,w naprawie
151,ST/00151,Progressive analyzing open architecture,6,2020-08-19,89935.97,30,Łaziska Górne,Ksawery Warczak,1865,w naprawie
152,ST/00152,Balanced non-volatile knowledgebase,8,2019-12-13,175238.29,30,Bydgoszcz,Elżbieta Bilik,106,zlikwidowany
153,ST/00153,Down-sized explicit Local Area Network,4,2019-12-30,49930.22,18,Olkusz,Roksana Mikita,1816,w naprawie
154,ST/00154,Cross-platform multi-tasking solution,4,2026-03-24,29431.28,7,Otwock,Paweł Goral,1359,zlikwidowany
155,ST/00155,Re-contextualized motivating protocol,3,2020-05-08,166234.81,18,Gorlice,Rafał Bondaruk,1005,w naprawie
156,ST/00156,Persevering multi-tasking software,491,2023-08-17,90690.73,30,Jelenia Góra,Kaja Staniczek,83,zlikwidowany
157,ST/00157,Re-engineered human-resource access,4,2021-05-14,166504.06,14,Wrocław,Blanka Czosnyka,1695,w użyciu
158,ST/00158,Profit-focused systemic moderator,8,2022-12-27,54368.89,10,Kielce,Ada Drynda,998,zlikwidowany
159,ST/00159,Business-focused fault-tolerant superstructure,491,2018-12-04,79997.45,10,Jaworzno,pani Anna Maria Kudra,2072,zlikwidowany
160,ST/00160,Future-proofed homogeneous Graphic Interface,6,2022-02-26,151621.28,14,Jasło,Kaja Szatko,2053,zlikwidowany
161,ST/00161,Vision-oriented asynchronous service-desk,4,2018-09-25,56907.02,7,Jarosław,Damian Gadzała,16,w naprawie
162,ST/00162,Horizontal bandwidth-monitored secured line,491,2025-01-10,97515.1,30,Września,pan Jan Wałdoch,1368,zlikwidowany
163,ST/00163,Decentralized 6thgeneration open architecture,6,2026-07-10,1410.64,30,Toruń,Błażej Wojtanowicz,1663,w naprawie
164,ST/00164,Up-sized 24hour process improvement,6,2025-12-15,194381.35,,Myszków,pani Agnieszka Potaczek,2485,w naprawie
165,ST/00165,Persevering neutral orchestration,8,2025-01-29,113458.46,10,Gdynia,Ewelina Paw,2022,w naprawie
166,ST/00166,Ergonomic eco-centric instruction set,8,2022-12-01,127835.79,7,Legionowo,Róża Lipok,2352,w naprawie
167,ST/00167,Sharable client-driven info-mediaries,491,2025-04-04,8786.62,20,Toruń,Oskar Kieszek,1995,w naprawie
168,ST/00168,Cloned static middleware,491,2025-04-12,125967.46,7,Szczytno,Kaja Konieczek,2048,w naprawie
169,ST/00169,Optimized value-added superstructure,491,2024-04-18,197606.46,30,Żyrardów,Adam Gregorowicz,997,w naprawie
170,ST/00170,Sharable real-time orchestration,4,2018-09-15,22071.13,10,Chrzanów,Borys Fedyk,1655,w użyciu
171,ST/00171,Assimilated multi-tasking methodology,3,2018-08-15,101666.49,10,Wieluń,Bruno Ślebioda,335,w naprawie
172,ST/00172,Progressive context-sensitive project,3,2026-03-08,30404.12,30,Łaziska Górne,pani Nela Szczypek,1551,zlikwidowany
173,ST/00173,De-engineered intangible support,6,2023-12-18,57538.72,14,Ostróda,pan Julian Andreasik,2537,zlikwidowany
174,ST/00174,Configurable full-range toolset,8,2020-07-22,29337.21,30,Legionowo,pan Ignacy Uzar,1348,w użyciu
175,ST/00175,Upgradable leadingedge customer loyalty,3,2021-12-24,129911.17,18,Skawina,Ryszard Budych,1180,w naprawie
176,ST/00176,Down-sized bottom-line matrices,491,2018-09-09,150529.93,14,Świecie,pani Kaja Bździuch,1357,zlikwidowany
177,ST/00177,Polarized radical portal,6,2021-10-10,36605.65,7,Tarnowskie Góry,Witold Polaszek,523,w naprawie
178,ST/00178,Customizable modular moratorium,491,2020-03-26,45280.07,10,Słupsk,pan Olgierd Zawartka,1855,w użyciu
179,ST/00179,Automated heuristic projection,3,2020-07-12,170233.09,14,Turek,pan Przemysław Chochół,789,w naprawie
180,ST/00180,Automated multi-tasking function,491,2025-12-15,102992.54,7,Wrocław,pan Maurycy Linda,1008,w naprawie
181,ST/00181,Function-based 24/7 task-force,6,2020-07-22,132170.53,20,Płock,pani Nela Kozar,643,w naprawie
182,ST/00182,Open-source human-resource challenge,491,2021-11-18,165456.95,30,Płock,pan Bruno Pytko,1651,w naprawie
183,ST/00183,Self-enabling clear-thinking functionalities,6,2022-02-09,98593.37,20,Puławy,Krystian Szabla,1379,w użyciu
184,ST/00184,Managed next generation toolset,6,2022-02-02,168390.71,7,Świdnik,Agnieszka Zachwieja,721,w użyciu
185,,Seamless context-sensitive orchestration,4,2023-12-30,27859.77,14,Krotoszyn,Marcelina Fiedoruk,196,zlikwidowany
186,ST/00186,Devolved transitional instruction set,6,2018-08-15,35874.73,10,Kwidzyn,Aleksander Laskus,615,zlikwidowany
187,ST/00187,Synchronized 4thgeneration attitude,6,2025-11-14,7574.76,10,Racibórz,Paweł Mądrzak,345,w użyciu
188,ST/00188,Programmable cohesive intranet,8,2023-10-06,107127.52,7,Jawor,Dagmara Kubrak,244,zlikwidowany
189,ST/00189,Synchronized national moderator,491,2022-01-08,2550.0,,Stargard Szczeciński,Łukasz Haponiuk,1676,zlikwidowany
190,ST/00190,Exclusive national secured line,8,2024-12-23,164282.76,20,Ostrów Mazowiecka,Sebastian Czupryna,1484,zlikwidowany
191,ST/00191,Multi-channeled secondary extranet,3,2019-01-01,88043.43,20,Świdnik,Daniel Wojtoń,774,w użyciu
192,ST/00192,Open-source intermediate array,4,2018-12-26,137920.57,30,Toruń,Olgierd Gryka,547,w naprawie
193,ST/00193,Multi-layered modular flexibility,8,2021-12-02,53839.3,30,Nowy Dwór Mazowiecki,Melania Mierzwiak,497,w użyciu
194,ST/00194,Exclusive mobile projection,4,2025-08-08,0,7,Bytom,Elżbieta Linkiewicz,1,w naprawie
195,ST/00195,Open-source client-server matrices,3,2022-02-14,131464.99,18,Pabianice,pani Bianka Bełz,225,zlikwidowany
196,ST/00196,Automated actuating superstructure,4,2025-01-18,38085.12,14,Zabrze,Marianna Makosz,8,zlikwidowany
197,ST/00197,Horizontal human-resource productivity,3,2019-08-31,75238.03,7,Katowice,Igor Wendt,508,w naprawie
198,ST/00198,Robust zero tolerance alliance,8,2020-08-06,34444.86,7,Mława,Jan Kałek,919,w naprawie
199,ST/00199,Right-sized bi-directional Internet solution,8,2025-01-11,74854.41,,Ciechanów,pani Roksana Boba,105,w użyciu
200,ST/00200,Integrated uniform encryption,8,2020-07-25,39342.76,30,Katowice,Patryk Dudziec,648,w naprawie
201,ST/00201,Programmable encompassing initiative,4,2020-12-30,114033.15,30,Włocławek,pan Fryderyk Drwięga,557,w naprawie
202,ST/00202,Team-oriented cohesive website,491,2022-02-01,185328.33,20,Kraków,pani Gaja Drążyk,494,zlikwidowany
203,,De-engineered global secured line,8,2024-02-10,47074.13,7,Wałcz,pan Antoni Czubaj,705,w użyciu
204,ST/00204,Vision-oriented dedicated complexity,4,2021-07-28,156421.07,20,Gorzów Wielkopolski,Ewa Ścibior,348,zlikwidowany
205,ST/00205,Vision-oriented impactful open system,4,2019-02-23,138239.97,7,Gorzów Wielkopolski,Adrianna Zeman,1391,w użyciu
206,ST/00206,Self-enabling national service-desk,8,2019-08-04,513.02,20,Bielsk Podlaski,Wiktor Kurda,1964,w naprawie
207,ST/00207,Decentralized modular array,3,2025-12-26,158194.4,30,Gniezno,Jakub Kęsek,364,zlikwidowany
208,ST/00208,Digitized heuristic alliance,8,2025-09-09,65072.09,7,Gdańsk,Jeremi Latuszek,1248,w naprawie
209,ST/00209,Digitized logistical instruction set,4,2025-07-26,171726.13,18,Stalowa Wola,Fabian Olbrych,356,zlikwidowany
210,ST/00210,Re-engineered secondary function,6,2021-04-08,4799.37,7,Zambrów,Natan Chwedoruk,421,w użyciu
211,ST/00211,Optional systematic software,3,2021-08-28,0,10,Tarnobrzeg,Alex Hennig,467,zlikwidowany
212,ST/00212,Horizontal modular matrix,6,2019-02-21,16131.75,14,Wałcz,Maksymilian Golon,450,w użyciu
213,ST/00213,Open-source 24/7 complexity,3,2026-02-13,195626.48,20,Kraśnik,pani Monika Ochał,562,w użyciu
214,ST/00214,Reactive national success,6,2021-07-02,133071.62,18,Olkusz,pani Rozalia Kęsek,597,w naprawie
215,ST/00215,Realigned modular functionalities,4,2025-08-15,5613.58,20,Swarzędz,Stanisław Skowyra,772,w naprawie
216,ST/00216,Up-sized asymmetric service-desk,8,2026-06-21,99209.55,18,Wodzisław Śląski,pani Julianna Wośko,1508,w użyciu
217,ST/00217,User-centric zero tolerance concept,491,2020-11-07,122175.32,10,Zambrów,Franciszek Ludwisiak,1529,w naprawie
218,ST/00218,Cross-platform impactful focus group,8,2019-02-19,148783.66,30,Kościerzyna,Michał Latko,1292,zlikwidowany
