umowa_id,numer_umowy,kontrahent_id,data_podpisania,data_rozpoczecia,data_zakonczenia,wartosc,waluta,status,opiekun
30,UM/2023/00030,1959,2023-09-28,2023-10-07,2026-07-18,386825.63,PLN,zakończona,Gabriel Katana
31,UM/2026/00031,377,2026-01-31,2026-02-15,2027-09-29,389075.69,PLN ,aktywna,pan Łukasz Kliber
32,UM/2023/00001,743,2024-06-06,2024-06-19,2026-12-21,203786.57,PLN,zakończona,Jerzy Bartoszczyk
33,UM/2025/00033,1685,2025-09-02,2025-09-04,2028-11-17,202473.41,PLN,aktywna,Marcel Rorat
34,UM/2026/00034,1607,2026-01-01,2026-01-07,2027-07-14,395769.12,PLN,aktywna,Ewelina Makles
35,UM/2022/00035,811,2022-11-26,2022-11-30,2023-03-21,372367.07,PLN,zakończona,pani Krystyna Petryk
36,UM/2022/00036,2113,2022-04-01,2022-04-14,2024-03-24,152276.34,PLN,w przygotowaniu,Hubert Pasierbek
37,UM/2022/00037,1625,2022-12-11,2022-12-22,2025-06-23,404771.02,PLN,zakończona,pan Łukasz Cholewka
38,UM/2024/00038,1854,2024-09-26,2024-09-26,2027-09-17,389088.31,PLN,aktywna,Monika Wołk
39,UM/2023/00039,1102,2023-10-01,2023-10-08,2023-07-05,408745.77,PLN,w przygotowaniu,pani Apolonia Sąsiadek
40,UM/2025/00040,1177,2025-03-11,2025-03-14,2027-05-02,66846.06,PLN,w przygotowaniu,Rozalia Szybiak
41,UM/2024/00041,698,2024-02-29,2024-03-01,2026-07-17,452622.1,PLN,w przygotowaniu,Gustaw Nyk
42,UM/2021/00042,724,2021-09-09,2021-09-25,2022-05-29,308255.72,PLN,zakończona,pani Roksana Rode
43,UM/2024/00043,38,2024-05-27,2024-05-27,2025-07-25,395138.42,PLN,w przygotowaniu,Patryk Zmuda
44,UM/2022/00044,1456,2022-06-14,2022-06-21,2022-10-27,429387.6,PLN,zakończona,pan Jerzy Schubert
45,UM/2021/00045,1454,2021-09-02,2021-09-14,2023-07-27,262793.59,PLN,w przygotowaniu,Justyna Bartoś
46,UM/2023/00046,162,2023-11-26,2023-11-27,2027-07-05,463766.06,PLN,w przygotowaniu,Kazimierz Wałęsa
47,UM/2022/00047,771,2022-07-02,2022-07-04,2023-12-23,393031.49,PLN,zakończona,Aniela Kaczka
48,UM/2022/00048,60,2022-04-13,2022-04-21,2024-03-26,446278.57,PLN,aktywna,Angelika Wośko
49,UM/2023/00049,1869,2023-04-15,2023-04-25,2027-02-18,257500.61,PLN,zakończona,pani Agnieszka Pitek
50,UM/2025/00050,2432,2025-06-02,2025-06-15,2026-07-07,259117.53,PLN,aktywna,Anna Maria Romankiewicz
51,UM/2025/00051,1968,2025-03-04,2025-03-18,2026-06-08,407272.06,PLN,w przygotowaniu,Anita Pytlarz
52,UM/2026/00052,809,2026-04-05,2026-04-12,2029-09-21,113873.89,PLN,zakończona,Agnieszka Szpyrka
53,UM/2024/00053,1273,2023-12-28,2024-01-01,2027-09-12,10941.7,PLN,w przygotowaniu,pan Natan Mzyk
54,UM/2023/00001,1313,2023-01-08,2023-01-22,2024-09-28,197475.37,PLN,zakończona,Mariusz Nowek
55,UM/2022/00055,2305,2021-12-23,2022-01-10,2024-08-05,420775.13,PLN,w przygotowaniu,Leon Klamka
56,UM/2025/00056,218,2025-11-05,2025-11-18,2028-03-02,141389.63,PLN,aktywna,pani Malwina Pajdak
57,UM/2022/00057,1258,2022-10-01,2022-10-03,,318521.48,PLN,zakończona,pani Melania Woszczak
58,UM/2026/00058,740,2026-06-25,2026-07-15,2028-02-28,204562.84,PLN,aktywna,Hubert Trzpil
59,UM/2022/00059,1754,2022-09-19,2022-09-30,2024-06-04,350868.93,PLN,zakończona,Ewa Dziarmaga
60,UM/2023/00060,261,2023-02-15,2023-02-19,2022-08-21,409285.26,PLN,aktywna,Anna Maria Postawa
61,UM/2022/00061,1149,2022-10-04,2022-10-17,,228025.64,PLN,aktywna,Olga Zięciak
62,UM/2024/00062,1240,2023-12-31,2024-01-01,2025-09-15,38986.93,PLN,w przygotowaniu,pan Krystian Rajda
63,UM/2026/00063,709,2026-02-14,2026-03-02,2029-04-15,449193.64,PLN,aktywna,Natasza Trzos
64,UM/2023/00064,1368,2023-03-23,2023-03-29,2024-08-30,170485.59,PLN,w przygotowaniu,Nicole Wiak
65,UM/2023/00065,1405,2022-12-21,2023-01-10,2024-04-12,357825.88,PLN,zakończona,Witold Garczarek
66,UM/2022/00066,1732,2022-03-16,2022-04-05,2025-06-29,2164.15,PLN,w przygotowaniu,pani Anita Borysewicz
67,UM/2024/00067,2293,2024-05-18,2024-06-03,2025-02-21,142579.01,PLN,w przygotowaniu,Liwia Herba
68,UM/2024/00068,299,2024-02-02,2024-02-09,2026-03-22,369747.14,PLN,zakończona,Fabian Pachla
69,UM/2025/00069,1898,2025-11-17,2025-11-25,2026-05-22,309600.42,PLN,w przygotowaniu,pan Karol Fijak
70,UM/2026/00070,2396,2026-05-27,2026-06-07,2028-06-15,349702.57,PLN,w przygotowaniu,Arkadiusz Nicewicz
71,UM/2026/00071,1067,2026-07-07,2026-07-08,2027-07-16,379347.88,PLN,w przygotowaniu,Tadeusz Przewłoka
72,UM/2023/00072,1711,2023-04-18,2023-04-29,2025-01-29,39961.85,PLN,aktywna,pan Paweł Burchard
73,UM/2023/00073,95,2023-10-03,2023-10-23,2027-07-07,322696.2,PLN,aktywna,Olaf Wittbrodt
74,UM/2022/00074,1429,2022-01-17,2022-02-04,2025-11-03,227712.28,PLN,w przygotowaniu,Natan Wittbrodt
75,UM/2024/00075,1345,2024-01-02,2024-01-09,2025-02-20,395546.14,PLN,aktywna,Jan Skoneczna
76,UM/2022/00076,1118,2022-03-11,2022-03-23,2024-03-28,155378.53,PLN,w przygotowaniu,pani Julianna Wawrzonek
77,UM/2025/00077,1112,2025-12-07,2025-12-11,,273977.88,PLN,w przygotowaniu,Urszula Kucab
78,UM/2023/00078,70,2023-05-09,2023-05-10,2025-01-09,292644.06,PLN,aktywna,Leonard Bicz
79,UM/2025/00079,441,2025-11-17,2025-12-05,2027-05-10,178105.41,PLN,aktywna,Natasza Łaciak
80,UM/2024/00080,2034,2024-03-09,2024-03-16,2027-08-05,8531.15,PLN,zakończona,pan Kacper Kiełbowicz
81,UM/2025/00081,111,2025-05-23,2025-05-24,2026-09-12,120707.26,PLN,zakończona,Tomasz Paśnik
82,UM/2025/00082,857,2025-02-05,2025-02-10,2028-11-26,373258.61,PLN,aktywna,Roksana Węgrzynowicz
83,UM/2026/00083,583,2026-06-29,2026-06-29,2028-11-30,446909.58,PLN,w przygotowaniu,Albert Wójcikiewicz
84,UM/2023/00084,1419,2023-07-27,2023-08-08,2025-11-28,409659.45,PLN,w przygotowaniu,Nataniel Miętka
85,UM/2023/00085,2040,2023-03-21,2023-04-01,2026-11-24,192896.24,PLN,zakończona,Marcelina Kierepka
86,UM/2025/00086,900,2025-08-25,2025-09-01,2028-05-24,297554.9,PLN,w przygotowaniu,Alan Lelonek
87,UM/2024/00087,851,2024-10-21,2024-10-23,2026-09-05,15712.69,PLN,w przygotowaniu,Ryszard Wiertel
88,UM/2023/00088,2067,2023-06-26,2023-07-12,2024-03-20,177391.41,PLN,zakończona,pan Ryszard Drobnik
89,UM/2024/00089,766,2024-07-31,2024-08-16,2027-05-03,470179.74,PLN,aktywna,Marianna Hawrylak
90,UM/2025/00090,1394,2025-04-28,2025-05-13,2028-10-12,90874.9,PLN,w przygotowaniu,Jan Solis
91,UM/2022/00091,1826,2022-11-15,2022-12-01,2026-07-19,100089.83,PLN,w przygotowaniu,Elżbieta Stanisławczyk
92,UM/2026/00092,1771,2026-04-25,2026-05-06,2026-12-27,315950.13,PLN,w przygotowaniu,Mateusz Miętus
93,UM/2026/00093,1198,2026-05-01,2026-05-13,2029-07-16,378180.23,pln,w przygotowaniu,Ewa Prasek
94,UM/2025/00094,1847,2025-05-30,2025-06-08,2025-10-12,171394.8,PLN,zakończona,Sara Czesak
95,UM/2022/00095,1309,2022-05-29,2022-06-10,,320524.77,PLN,aktywna,Klara Ostapczuk
96,UM/2022/00096,1833,2022-09-21,2022-09-24,2023-11-08,469707.58,PLN,w przygotowaniu,Adrianna Mszyca
97,UM/2024/00097,1461,2024-05-11,2024-05-27,2027-02-26,226547.39,PLN ,zakończona,Natasza Chylak
98,UM/2021/00098,131,2021-11-05,2021-11-09,2025-05-09,18243.61,PLN,zakończona,pani Krystyna Aleksander
99,UM/2026/00099,520,2026-07-10,2026-07-11,2030-06-27,126789.49,PLN,w przygotowaniu,Karina Hartman
100,UM/2021/00100,1178,2021-10-21,2021-10-27,2024-08-29,290925.96,PLN,w przygotowaniu,Michał Pierzak
101,UM/2023/00101,1030,2023-10-02,2023-10-17,2025-06-29,497810.01,PLN,aktywna,Anastazja Rzucidło
102,UM/2024/00102,170,2024-12-27,2024-12-31,2026-03-09,149638.2,PLN,zakończona,Aleks Młyńczyk
103,UM/2026/00103,54,2026-02-20,2026-03-07,2027-12-07,118527.99,PLN,aktywna,pani Kamila Sobel
104,UM/2024/00104,331,2024-09-23,2024-10-10,2027-09-25,326708.24,PLN,w przygotowaniu,pani Gaja Kościelak
105,UM/2025/00105,495,2025-04-28,2025-04-30,2025-07-29,91256.29,PLN,aktywna,Sandra Mrotek
106,UM/2025/00106,2001,2025-10-15,2025-10-20,2028-04-11,305601.58,PLN,w przygotowaniu,Juliusz Galek
107,UM/2021/00107,1035,2021-12-13,2021-12-17,2024-06-02,446710.26,PLN,aktywna,Jerzy Tusk
108,UM/2025/00108,1701,2025-02-06,2025-02-19,2027-08-01,138018.79,PLN,aktywna,pan Mariusz Stypka
109,UM/2021/00109,901,2021-09-09,2021-09-20,,92292.36,PLN,zakończona,pani Eliza Dorobek
110,UM/2023/00110,554,2023-11-30,2023-11-30,2026-03-19,272310.31,PLN,aktywna,Kornel Kiwior
111,UM/2025/00111,47,2025-05-05,2025-05-25,2026-09-21,3577.68,PLN,w przygotowaniu,Mieszko Malcher
112,UM/2023/00112,907,2023-09-17,2023-09-22,2024-06-01,46198.99,PLN,aktywna,Sara Sydor
113,UM/2024/00113,244,2024-09-14,2024-09-29,2025-04-02,148307.87,PLN,w przygotowaniu,Aniela Bartuś
114,UM/2023/00114,1097,2023-09-09,2023-09-15,2026-01-25,474751.09,PLN,w przygotowaniu,Tola Hadała
115,UM/2023/00115,1216,2023-08-31,2023-09-04,2024-01-21,278553.49,PLN,w przygotowaniu,Sara Kapciak
116,UM/2022/00116,1630,2022-11-01,2022-11-16,2023-08-30,71007.21,PLN,aktywna,Błażej Litwa
117,UM/2026/00117,1565,2026-04-23,2026-05-01,2028-04-05,492760.57,PLN,zakończona,Olga Dymarczyk
118,UM/2022/00118,1560,2022-03-15,2022-03-16,2022-08-31,395573.17,PLN,aktywna,pani Eliza Masny
119,UM/2023/00119,971,2023-12-05,2023-12-20,2026-10-05,454035.71,PLN,w przygotowaniu,Damian Prażuch
120,UM/2024/00120,674,2024-07-13,2024-07-15,2028-04-01,128562.72,pln,w przygotowaniu,pani Marianna Dudała
121,UM/2022/00121,246,2022-03-07,2022-03-21,2022-09-07,81309.6,PLN,w przygotowaniu,Apolonia Stoltman
122,UM/2021/00122,1054,2021-08-29,2021-09-13,2024-10-08,310705.95,PLN,w przygotowaniu,Konstanty Gendek
123,UM/2025/00123,429,2025-07-16,2025-08-05,2026-02-06,48420.38,PLN,aktywna,Błażej Olko
124,UM/2025/00124,1601,2025-08-27,2025-09-04,2027-11-09,233010.36,PLN,w przygotowaniu,Jerzy Budzyń
125,UM/2023/00125,1518,2023-12-03,2023-12-17,2026-01-22,378416.52,PLN,zakończona,Liwia Lejk
126,UM/2024/00126,923,2024-11-10,2024-11-17,2025-03-30,199834.11,PLN,zakończona,pani Sandra Matela
127,UM/2026/00127,1145,2026-05-26,2026-06-10,2028-06-24,465901.36,PLN,aktywna,Maurycy Prażmo
128,UM/2026/00128,891,2026-03-10,2026-03-25,2026-08-04,265097.59,PLN,w przygotowaniu,Marek Jonik
129,UM/2025/00129,1289,2025-07-23,2025-07-28,2028-01-27,109388.94,zł,aktywna,pan Jakub Zastawny
130,UM/2023/00001,1184,2024-07-18,2024-07-28,2024-11-04,419865.1,PLN,aktywna,Nikodem Skierka
131,UM/2023/00131,102,2023-01-07,2023-01-15,2024-06-22,306322.93,PLN,w przygotowaniu,Sandra Dankiewicz
132,UM/2022/00132,1897,2022-07-13,2022-07-14,2022-12-04,2070.22,PLN,aktywna,Fryderyk Klekot
133,UM/2023/00133,1432,2023-09-25,2023-10-05,2026-08-19,131683.74,PLN,zakończona,Radosław Kulon
134,UM/2022/00134,1779,2022-09-01,2022-09-10,2026-05-23,395161.18,PLN,aktywna,Bruno Kapuścik
135,UM/2023/00135,572,2023-11-29,2023-12-09,2025-05-13,41253.53,PLN,zakończona,Robert Krzyszczak
136,UM/2026/00136,2401,2026-05-05,2026-05-06,2027-05-19,97037.08,PLN,zakończona,Róża Jarkiewicz
137,UM/2024/00137,368,2024-05-11,2024-05-26,2025-07-25,400952.29,PLN ,aktywna,Maksymilian Sereda
138,UM/2023/00138,1017,2023-09-26,2023-09-26,2025-03-30,272497.29,PLN,aktywna,Daniel Rok
139,UM/2025/00139,54,2025-11-25,2025-12-12,2027-08-22,444624.36,PLN,w przygotowaniu,Natan Strojna
140,UM/2025/00140,324,2025-07-20,2025-07-23,2028-03-18,83966.81,PLN,zakończona,Aurelia Stoltmann
141,UM/2024/00141,1240,2024-05-07,2024-05-16,2024-09-25,351341.75,PLN,aktywna,Jędrzej Zmarzły
142,UM/2021/00142,1305,2021-11-09,2021-11-23,2024-05-15,461373.58,PLN,aktywna,Nela Niedbał
143,UM/2022/00143,547,2022-01-14,2022-01-28,2022-11-18,54401.79,PLN,zakończona,Sylwia Naumiuk
144,UM/2024/00144,4,2024-05-27,2024-06-14,2025-04-16,265869.92,PLN,aktywna,Maciej Szlachcic
145,UM/2026/00145,1860,2026-04-17,2026-04-30,2030-04-09,450250.15,PLN,aktywna,Marcel Górkiewicz
146,UM/2023/00146,350,2023-08-04,2023-08-14,2024-08-01,76968.33,PLN,zakończona,Przemysław Betlej
147,UM/2024/00147,1850,2024-04-06,2024-04-09,2025-08-25,37273.07,PLN,zakończona,pani Anna Maria Bieszke
148,UM/2025/00148,1618,2025-10-19,2025-11-05,2026-02-16,205789.8,PLN,w przygotowaniu,Jakub Pietrek
149,UM/2023/00149,2143,2023-12-18,2023-12-27,2025-10-08,51324.08,PLN,zakończona,Ida Górkiewicz
150,UM/2026/00150,1434,2026-06-23,2026-07-12,2028-02-03,420114.85,PLN,zakończona,pani Janina Gotfryd
151,UM/2024/00151,1375,2024-08-14,2024-08-20,2028-01-27,318262.49,PLN,zakończona,Leon Kabza
152,UM/2022/00152,707,2022-07-28,2022-08-07,2024-10-07,230223.59,PLN,zakończona,pani Monika Dolega
153,UM/2024/00153,2013,2024-07-14,2024-07-29,2028-02-02,405809.7,PLN,aktywna,Dominik Brachman
154,UM/2025/00154,1532,2025-05-14,2025-05-16,2028-10-29,194626.59,PLN,zakończona,Krzysztof Szłapka
155,UM/2021/00155,660,2021-09-10,2021-09-30,2023-04-02,125327.96,PLN,zakończona,Maks Kalista
156,UM/2025/00156,409,2025-09-06,2025-09-14,2026-02-12,338500.31,PLN ,aktywna,pan Jeremi Samol
157,UM/2026/00157,1446,2026-06-13,2026-07-03,2030-03-13,483157.77,PLN,w przygotowaniu,pani Ada Pajek
158,UM/2024/00158,315,2023-12-29,2024-01-09,2027-11-22,322422.72,PLN,aktywna,Gustaw Bartela
159,UM/2025/00159,1557,2024-12-25,2025-01-14,2028-09-14,368974.89,PLN,aktywna,Rafał Kurp
160,UM/2022/00160,1258,2022-10-08,2022-10-23,2023-05-19,455532.41,PLN,aktywna,pani Malwina Fechner
161,UM/2023/00161,1715,2023-06-10,2023-06-12,2027-01-02,351307.11,PLN,zakończona,Aurelia Grzelczyk
162,UM/2025/00162,1412,2025-01-30,2025-02-19,2028-12-25,429385.69,PLN,aktywna,Aurelia Giersz
163,UM/2026/00163,1193,2026-01-23,2026-01-25,2029-02-22,197379.59,PLN,w przygotowaniu,pan Iwo Orwat
164,UM/2026/00164,71,2026-02-05,2026-02-18,2029-08-18,93406.86,PLN,w przygotowaniu,pan Tadeusz Opoka
165,UM/2025/00165,357,2025-10-24,2025-11-03,2028-12-09,360100.13,PLN,w przygotowaniu,Fabian Kuzior
166,UM/2023/00166,220,2023-10-31,2023-11-06,2026-04-28,14329.35,PLN,w przygotowaniu,Gaja Langiewicz
167,UM/2024/00167,1440,2024-07-20,2024-07-22,2025-02-15,319813.31,PLN,aktywna,Miłosz Mojsa
168,UM/2023/00168,1123,2022-12-25,2023-01-12,2024-05-25,103211.52,PLN,aktywna,pani Ida Famuła
169,UM/2023/00169,251,2023-04-26,2023-05-12,2026-01-17,249888.43,PLN,w przygotowaniu,Kaja Damps
170,UM/2025/00170,1165,2025-01-16,2025-01-31,2026-09-22,73341.64,PLN,w przygotowaniu,Tola Gabryel
171,UM/2023/00171,1739,2022-12-24,2023-01-07,2022-10-06,194432.58,PLN,aktywna,Sebastian Wziątek
172,UM/2026/00172,2011,2026-01-08,2026-01-17,2029-04-20,121465.15,PLN,w przygotowaniu,Konstanty Winek
173,UM/2023/00173,2048,2023-10-25,2023-11-03,2025-09-08,66111.0,zł,w przygotowaniu,pani Kaja Truchan
174,UM/2022/00174,1601,2022-08-22,2022-09-07,2023-09-18,118892.18,PLN,zakończona,Maciej Wałaszek
175,UM/2024/00175,100,2024-06-08,2024-06-27,2027-06-11,359897.3,PLN,w przygotowaniu,Bruno Aleksa
176,UM/2022/00176,2588,2022-07-07,2022-07-10,2026-01-15,210891.74,PLN,aktywna,Natasza Drobniak
177,UM/2024/00177,166,2024-08-26,2024-09-12,2028-03-31,156772.46,PLN,zakończona,pani Ada Rymarz
178,UM/2024/00178,1547,2024-06-30,2024-07-04,2025-08-14,219600.97,PLN,aktywna,pan Jeremi Słupek
179,UM/2022/00179,767,2022-10-13,2022-10-23,2023-08-18,261083.76,PLN,aktywna,Blanka Majak
180,UM/2025/00180,1905,2025-04-13,2025-04-25,2028-09-13,491418.89,PLN,aktywna,Grzegorz Kazior
181,UM/2023/00001,1050,2023-01-15,2023-01-18,2023-05-02,311815.4,PLN,w przygotowaniu,Filip Foremniak
182,UM/2022/00182,1916,2022-12-08,2022-12-21,,171196.91,PLN,aktywna,Stanisław Wódka
183,UM/2026/00183,1243,2026-04-16,2026-04-28,2027-04-17,422557.02,PLN,zakończona,pani Sonia Jędruszczak
184,UM/2024/00184,471,2024-05-31,2024-06-13,2026-07-21,296766.41,PLN,aktywna,pan Karol Fiedler
185,UM/2024/00185,296,2024-03-11,2024-03-25,2026-07-22,53051.75,PLN,zakończona,Bianka Janc
186,UM/2025/00186,589,2025-05-11,2025-05-31,2029-05-05,277133.56,PLN,zakończona,Wiktor Bilik
187,UM/2023/00187,1861,2023-01-07,2023-01-07,2026-11-12,356134.58,PLN,zakończona,Marcel Małż
188,UM/2021/00188,95,2021-07-26,2021-08-06,2025-05-08,402982.76,PLN,zakończona,Olaf Sołtan
189,UM/2023/00189,179,2022-12-22,2023-01-06,2025-02-15,208577.75,PLN,zakończona,Konrad Zeman
190,UM/2024/00190,1222,2024-07-19,2024-07-22,2027-05-19,113696.59,PLN,w przygotowaniu,Arkadiusz Maksimowicz
191,UM/2022/00191,733,2022-12-02,2022-12-16,2023-11-14,218418.14,PLN,zakończona,pan Antoni Połetek
192,UM/2024/00192,805,2024-07-13,2024-07-24,2026-02-15,303717.18,PLN,w przygotowaniu,Borys Kandziora
193,UM/2022/00193,523,2022-07-11,2022-07-19,2026-05-13,181791.63,PLN,zakończona,Cyprian Kożuszek
194,UM/2026/00194,487,2026-02-26,2026-03-10,2029-06-20,436453.07,PLN,w przygotowaniu,Dagmara Pieczarka
195,UM/2022/00195,1018,2022-08-05,2022-08-14,2024-11-27,54834.01,PLN,zakończona,Michał Strządała
196,UM/2025/00196,1276,2025-06-12,2025-06-25,2027-09-15,54209.55,PLN,zakończona,Dominik Polewka
197,UM/2022/00197,448,2022-02-09,2022-02-10,2022-12-08,327407.37,PLN,zakończona,Krystyna Bugla
198,UM/2025/00198,911,2025-04-14,2025-05-02,2028-03-04,320798.76,PLN,w przygotowaniu,Maurycy Malewicz
199,UM/2026/00199,694,2026-06-25,2026-07-13,2027-03-22,253715.93,PLN,w przygotowaniu,pani Klara Samson
200,UM/2022/00200,1026,2022-11-07,2022-11-16,2024-11-16,280466.65,PLN,w przygotowaniu,Franciszek Kwapis
201,UM/2021/00201,552,2021-07-25,2021-08-08,2022-05-27,237938.11,PLN,aktywna,Kaja Kucz
202,UM/2026/00202,2007,2026-07-09,2026-07-12,2029-04-03,457349.4,PLN,zakończona,Olga Drgas
203,UM/2025/00203,1385,2025-03-03,2025-03-09,2028-03-30,413964.07,PLN,w przygotowaniu,Paweł Goik
204,UM/2021/00204,394,2021-07-18,2021-08-01,2025-02-20,141610.26,PLN,zakończona,Iwo Geisler
205,UM/2024/00205,58,2024-09-16,2024-10-02,2026-05-31,1993.85,PLN,aktywna,Maciej Westfal
206,UM/2021/00206,656,2021-09-14,2021-09-19,2024-12-23,283521.32,PLN,aktywna,Sonia Noszczyk
207,UM/2026/00207,1071,2026-05-20,2026-05-23,2028-11-22,302905.92,PLN,zakończona,Piotr Bochnia
208,UM/2023/00208,1211,2023-05-20,2023-05-21,2026-09-30,78122.01,PLN,w przygotowaniu,Jeremi Ellwart
209,UM/2022/00209,1724,2022-11-28,2022-12-06,2025-10-12,161654.16,PLN,zakończona,pani Róża Matwiejczyk
210,UM/2025/00210,1855,2025-02-18,2025-02-22,2027-03-07,262814.87,PLN,aktywna,pani Gaja Bodek
211,UM/2022/00211,1577,2022-11-12,2022-11-22,2026-03-22,210470.95,PLN,zakończona,Tola Malcharek
212,UM/2021/00212,34,2021-10-09,2021-10-20,2022-02-14,290227.58,PLN,aktywna,pani Anastazja Żabka
213,UM/2025/00213,2095,2025-04-23,2025-04-23,2026-03-25,4456.5,PLN,aktywna,Agnieszka Linke
214,UM/2021/00214,1361,2021-07-17,2021-07-23,2021-10-21,228576.25,PLN,aktywna,pani Sonia Ziajka
215,UM/2024/00215,1963,2024-07-25,2024-08-14,2027-02-03,80966.07,PLN,w przygotowaniu,Inga Lazarek
216,UM/2025/00216,634,2025-03-25,2025-03-26,2028-12-29,454266.91,PLN,aktywna,pani Ida Ryczko
217,UM/2021/00217,2309,2021-08-11,2021-08-12,2024-05-28,492538.01,PLN,w przygotowaniu,Jacek Kiedrowicz
218,UM/2021/00218,697,2021-11-23,2021-11-28,2024-07-13,103329.18,PLN,w przygotowaniu,Julian Bartman
219,UM/2024/00219,1551,2024-10-23,2024-11-12,2027-09-25,196402.29,PLN,aktywna,Aleks Biesek
220,UM/2023/00220,284,2023-08-01,2023-08-12,2025-05-14,425759.03,PLN,w przygotowaniu,pani Bianka Ryfa
221,UM/2021/00221,244,2021-11-24,2021-12-08,,2301.59,PLN,w przygotowaniu,Kajetan Klatka
222,UM/2022/00222,550,2022-03-20,2022-04-08,2025-01-22,331913.51,PLN,w przygotowaniu,Ewelina Puła
223,UM/2024/00223,634,2024-11-04,2024-11-21,2026-11-12,205040.86,PLN,zakończona,pan Albert Szwiec
224,UM/2024/00224,1255,2024-07-10,2024-07-28,2026-02-24,84579.45,PLN,zakończona,Mieszko Borysiewicz
225,UM/2022/00225,1997,2022-08-17,2022-09-06,2026-01-23,327849.35,PLN,w przygotowaniu,Patryk Suszka
226,UM/2023/00001,363,2023-05-16,2023-05-17,2025-08-03,305078.18,PLN,w przygotowaniu,Anastazja Gajzler
227,UM/2022/00227,1473,2022-10-25,2022-11-05,2024-06-08,424741.1,PLN,w przygotowaniu,Marcel Noras
228,UM/2023/00228,609,2023-06-20,2023-07-06,2026-04-23,325080.02,PLN,zakończona,Albert Kolman
229,UM/2023/00229,883,2023-09-30,2023-10-20,2027-09-20,258304.37,PLN,w przygotowaniu,pani Kaja Derek
